NonTerminal                 | First Set                                                          | Follow Set
OpenBrace_                  |  openBrace                                                         |  integer float intNum floatNum openBrace not identifier plus minus closeBrace
CloseBrace_                 |  closeBrace                                                        |  asterix fwdSlash and plus minus or equalEqual lesserGreater lesser greater lesserEqual greaterEqual closeSquareBrace comma then do if while read write return identifier semiColon colon period closeBrace
Not_                        |  not                                                               |  intNum floatNum openBrace not identifier plus minus
Plus_                       |  plus                                                              |  intNum floatNum openBrace not identifier plus minus
Minus_                      |  minus                                                             |  intNum floatNum openBrace not identifier plus minus
SemiColon_                  |  semiColon                                                         |  end do integer float if while read write return else semiColon public private closeCurlyBrace class identifier main
Equal_                      |  equal                                                             |  intNum floatNum openBrace not identifier plus minus
LesserGreater_              |  lesserGreater                                                     |  intNum floatNum openBrace not identifier plus minus
Lesser_                     |  lesser                                                            |  intNum floatNum openBrace not identifier plus minus
Greater_                    |  greater                                                           |  intNum floatNum openBrace not identifier plus minus
LesserEqual_                |  lesserEqual                                                       |  intNum floatNum openBrace not identifier plus minus
GreaterEqual_               |  greaterEqual                                                      |  intNum floatNum openBrace not identifier plus minus
Comma_                      |  comma                                                             |  intNum floatNum openBrace not plus minus identifier integer float
ColonColon_                 |  colonColon                                                        |  identifier
Colon_                      |  colon                                                             |  void identifier integer float
Local_                      |  local                                                             |  do identifier integer float
Inherits_                   |  inherits                                                          |  identifier
Or_                         |  or                                                                |  intNum floatNum openBrace not identifier plus minus
Do_                         |  do                                                                |  if while read write return identifier end
End_                        |  end                                                               |  else semiColon
Public_                     |  public                                                            |  identifier integer float
Private_                    |  private                                                           |  identifier integer float
Main_                       |  main                                                              |  do local
If_                         |  if                                                                |  openBrace
Then_                       |  then                                                              |  do if while read write return identifier else
Else_                       |  else                                                              |  do if while read write return identifier semiColon
While_                      |  while                                                             |  openBrace
Read_                       |  read                                                              |  openBrace
Write_                      |  write                                                             |  openBrace
Return_                     |  return                                                            |  openBrace
Class_                      |  class                                                             |  identifier
OpenCurlyBrace_             |  openCurlyBrace                                                    |  public private closeCurlyBrace
CloseCurlyBrace_            |  closeCurlyBrace                                                   |  semiColon
EqualEqual_                 |  equalEqual                                                        |  intNum floatNum openBrace not identifier plus minus
